,prompt,result,time,user,id
20,"Alan Zweibel is an American television writer, ","Alan Zweibel is an American television writer,  based in Boston and on the blog Fears for Free.  He received his GED",1686442445.4390354,Scott Rush,167414
21,Chris Zylka is an American actor and ,"Chris Zylka is an American actor and  musician.  He was born in New Jersey, and was raised in Queens, New",1686555356.1690128,Harold Thompson,443143
22,Brian Sacca is an American actor/writer/producer who ,Brian Sacca is an American actor/writer/producer who  hides behind his credits as a role-model for young actors who want,1686930630.7162218,Jose Webb,291369
23,Michael Sacks is an American actor and ,"Michael Sacks is an American actor and ersatz American radio personality who has appeared in films from ""The Americans,"" ""Scream Queens,"" """,1687124377.4031022,Richard Rodgers,225772
24,"Alan Sader is an American TV, film, ","Alan Sader is an American TV, film, iced, media, and film documentary producer and journalist. He has had a long career and is",1686486829.039803,Haley Brown,352944
25,"Thomas Sadoski is an American stage, film, ","Thomas Sadoski is an American stage, film,  entertainment and TV executive as well as writer. For more information regarding the show",1687180235.6325605,Alejandro Roberts,97251
26,"Reza Sixo Safai is an American director, actor ","Reza Sixo Safai is an American director, actor  of American television series   The   Inception  . He has received",1686889029.2092927,John Krueger,101414
27,Jack Sahakian became the first born grandson ,"Jack Sahakian became the first born grandson     of a Sikh and said that ""I believe in justice.""  ""When  ",1686910994.858902,John Lopez,888662
28,"Raymond St. Jacques was an American actor, director ","Raymond St. Jacques was an American actor, director  and writer who served as a producer. He also served in the US Army National Guard",1686926749.486045,Sonia Burton,633052
29,"Harold Sakata, born Toshiyuki Sakata was a ","Harold Sakata, born Toshiyuki Sakata was a ichthyosaur. It doesn't look like that—even the picture is",1687010043.037751,Kristin Hill,846335
30,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ","""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast  and the other men he's been with over a decade. I've",1687241852.5639844,Shelly Andersen,765179
31,"Kario Salem, is an American television, film, ","Kario Salem, is an American television, film,  video game, and radio host, who is an early member of the Coalition of Motion",1686805673.196695,Ashley Stephens,562275
32,"His widow, Colleen O'Neill, and Matt Salinger ","His widow, Colleen O'Neill, and Matt Salinger  said it all:
Dear readers for today's piece as well as for",1687156525.7601857,David Swanson,967096
33,Monroe Salisbury died at age 59 from ,"Monroe Salisbury died at age 59 from erythema of an allergic reaction to a rat poison.

In January 2006, the US",1686890493.497522,Alicia Osborne,82627
34,"Salley hosted The John Salley Block Party, ","Salley hosted The John Salley Block Party,  as The Richard E. Casey Club and hosted The John Salley Block Party, in April",1686708560.267338,Mary Juarez,307419
35,Albert Salmi was an American actor of ,"Albert Salmi was an American actor of ichthyology and neurology, being associated with many neurological disorders. Salmi was also involved in numerous",1686417724.0724795,Joseph Griffin,659176
36,Jack Salvatore Jr. is an American writer’s production ,Jack Salvatore Jr. is an American writer’s production  of the film The Everest  and the role of,1686638853.6169279,Carrie Ayers,928463
37,Sammy Blum was an American character actor ,"Sammy Blum was an American character actor  in 1980's.   
The character played by John O'Fallon is a member of",1686383853.2916813,Andrea Melton,379201
38,"The Aboriginal Multi-Media Society
Will Sampson at Find ","The Aboriginal Multi-Media Society
Will Sampson at Find vernacular
Nathan Walker on How to Be a Better Young Woman
Lacey",1686682022.0068223,Kaylee Mercer,201629
39,Russell Sams is an American film actor ,Russell Sams is an American film actor  who worked in Los Angeles. He is a producer on both the Showtime series and The Hunger Games:,1686548622.789531,Elizabeth Patterson,72933
40,Edwin San Juan is a Filipino American actor ,"Edwin San Juan is a Filipino American actor  who's recently worked on the  Déjà Vu,  La La Land (",1687239370.4885967,Nicole Wood,693384
41,"Marco Sanchez is an American actor, producer, ","Marco Sanchez is an American actor, producer, iced tea (a ""cognita"" or ""cognitas"") and movie producer. He",1687048453.2879019,Charles Silva,810620
42,Otto Sanchez is an American actor best ,Otto Sanchez is an American actor best  known for his roles as Dr. Tanya (Willa Holland) and the gangster Lizzy,1686983977.1093018,Philip Elliott,83667
43,Tony Sancho is a stage and film ,"Tony Sancho is a stage and film izette. As part of that group, he works with a group of famous music celebrities.

",1686390557.8616712,Mrs. Dawn Ruiz,244098
44,Paul Sand is an American actor and ,"Paul Sand is an American actor and  famous for films like ""The BFG"". He's had a really pretty career (both as an",1686378850.6247838,Cynthia Thomas,105907
45,"Walter Sande was an American character actor, ","Walter Sande was an American character actor,  who was a part of the military but had never served in the US Army, has been",1686888833.3194299,Tyler Williams,291476
46,"For the cricketer, see Ian Sanders.Ian Sander ","For the cricketer, see Ian Sanders.Ian Sander __________________",1686811989.4311786,Michael Russo,666563
47,"Aaron Sanders is an American actor, known ","Aaron Sanders is an American actor, known ̄̄ ̚-̴̲̟̅. His favorite movies are",1686412797.152458,Brian Cantu,382554
48,C. J. Sanders is an American football wide ,C. J. Sanders is an American football wide urchin who will join the team next season following a 12-year career with the Houston Texans,1687116870.7905328,Karen Holt,388162
49,William Sanderson is an American character actor ,William Sanderson is an American character actor . His work appears in many TV shows. Sanderson has been nominated for one million viewers,1686914898.5619388,Andrew Wells,219684
50,"Ethan Sandler is an American actor, film ","Ethan Sandler is an American actor, film urchin, television show writer and director. He has been best known for his work on Breaking",1686584698.2586417,Tony Munoz,279946
51,Steve Sandor was an actor who made ,Steve Sandor was an actor who made  many memorable  impressions as a showstopper in his years filming the  Breaking,1686551516.9913292,Ernest Gonzalez,982153
52,"Nick Sandow is an American actor, writer, ","Nick Sandow is an American actor, writer,  journalist, and writer, who also writes in various arts and culture publications. He is",1686570677.672475,Maria Jackson,679514
53,Johnny Sands was an American film and ,Johnny Sands was an American film and  actor who first started making films in France in the late 1960s. He also worked on the James Bond,1687212559.4468443,Sandra Norman,638720
54,Erskine Sanford was an American actor on ,Erskine Sanford was an American actor on  Super 8. He played the role of a young man in a movie about the 1970s,1686621608.2006738,Christopher Pratt,179451
55,Merlin Santana was an American actor and ,Merlin Santana was an American actor and  American television star. Santana also was the first African-American performer to win a Broadway Prize in the,1686727344.9480605,Joshua Johnson,764544
56,"Andrew Santino is an American stand-up comedian, ","Andrew Santino is an American stand-up comedian, !! #santino - February 24, 2014

An interesting question for you and",1687030729.5670588,Teresa Meza,171339
57,"Fred Santley, also known variously as Freddie ","Fred Santley, also known variously as Freddie  (his wife is the title character), the Bachelorette (""Bachelors are",1686802718.1926672,Melvin Bennett,397887
58,"In 1906, at age seventeen, Joseph Santley ","In 1906, at age seventeen, Joseph Santley  admitted himself to the Church  and was then a  priest in his native Church",1687004372.8722014,Elizabeth Patterson,970342
59,"Reni Santoni is an American film, television ","Reni Santoni is an American film, television  documentary and radio presenter. Her most recent work has been The Making of A VHS",1686616345.511525,Anne Collins,721590
60,"Davi Santos is a Brazilian-born American actor, ","Davi Santos is a Brazilian-born American actor,  director, writer and actor.
I have spent the last five years working with him",1686703430.2500613,Lisa Lang,230283
61,Joe Santos was an Italian-American film and ,Joe Santos was an Italian-American film and  the director said that this would not just be an African-American film but also an Asian film,1686569564.9796677,Katherine Thomas,340035
62,"Al Sapienza is an American actor, who ","Al Sapienza is an American actor, who  fantasticly appeared in ten films, three series, three films with multiple cast members",1686403641.7019506,Mary Evans,805635
63,He took the name Dick Sargent from ,He took the name Dick Sargent from  another character in the first series of novels that helped define the modern era in literature. In my,1686473742.4009469,James Walker,58655
64,"Bob Sarlatte is an American comedian, actor ","Bob Sarlatte is an American comedian, actor ️️, and creator ️️ of the now",1687047263.0284317,Dylan Clark,861722
65,"Patrick Sarniak is an American musician, songwriter ","Patrick Sarniak is an American musician, songwriter  and music writer. I had to look up his name and picture to see his name",1687253778.6448505,Gregory Wallace,844151
66,"""Q&A - Peter Sarsgaard Caught in Orphan's ","""Q&A - Peter Sarsgaard Caught in Orphan's  transporter.  I'm going to put this down,",1686956662.121749,Phillip Steele,420651
67,"Gailard Sartain is an American former actor, ","Gailard Sartain is an American former actor,  whom she said was inspired by a novel by the same name about her grandmother",1687006692.7066488,Shelby Walls,69403
68,"He is the son of Paul Satterfield, ","He is the son of Paul Satterfield,  a Methodist minister and a local activist.  Paul received a degree in Christian Studies from",1687066208.3342319,Alexandria Castillo,957492
69,Brad Savage is an American actor best ,"Brad Savage is an American actor best  of actor. He plays the character of Jack Riddle and was also nominated for the award.
He",1686298728.0588014,Lisa Chavez,594731
70,"George Savalas, under his real name, also ","George Savalas, under his real name, also  did have to be on the front lines of the revolution. This was when he was",1686368502.6784968,Terry Lewis,752787
71,Stelio Savante is a South African-born New ,"Stelio Savante is a South African-born New vernacular English speaker.

The following words have both an N in the end",1686957478.2513406,Samantha Cook,222955
72,Gus Saville was an American silent film ,"Gus Saville was an American silent film  whose first release was in 1867. However, in the following years his reputation soared. It",1686600164.9455087,Melody Mccoy,523481
73,"Jimmy Savo was an American Vaudeville, Broadway, ","Jimmy Savo was an American Vaudeville, Broadway, ?????????? - Jim Carrey! I've watched a lot of 'em,",1686872592.487357,Sandra Tucker,927657
74,"Hartley Sawyer is an American actor, producer ","Hartley Sawyer is an American actor, producer  of 20 film roles of interest to The American Times.
He has directed several films like The",1686328471.175248,Matthew Frey,674079
75,John Saxon is an American actor and ,"John Saxon is an American actor and  -an author of The Lost Girl. (2012), John Saxon: The Strange Lives of",1686806302.9269273,Vincent Rivera,149811
76,Rolf Saxon is an American actor and ,Rolf Saxon is an American actor and  producer who spent much of last year in the U.S. following an 18-month,1687009698.6081161,Lisa Roberts,146413
77,"Raphael Sbarge is an American actor, director ","Raphael Sbarge is an American actor, director  and music producer. After working for  the  WAVED  company for",1687028838.213794,Anthony Estrada,781177
78,Don Scardino is an American television director ,"Don Scardino is an American television director  and author of the novel A Life in Ditch.
This is his official blog: http",1686698808.9110594,Mrs. Jessica Wilson,565158
79,Hal Scardino is an American actor and ,Hal Scardino is an American actor and iannis writer who has appeared in many films.,1687011942.3198907,Nicholas Herring,783300
80,"Paul Scardon was an actor, a producer, ","Paul Scardon was an actor, a producer,  and a book developer who also had a role in 'The Life Theater' on the",1686674464.9768898,Dr. Jeff Mccann,449245
81,"Christopher Schaap is an American actor, director ","Christopher Schaap is an American actor, director  (known as the ""Pulpfather""). He directed the critically acclaimed series of American Dad at",1686346012.6571174,Jason Stephens,611878
82,Fritz Schade was a German-born American film ,"Fritz Schade was a German-born American film urchin by the American film-maker Tom Ford, Jr.

The film was",1686868647.2667289,Mary Pineda,379580
83,"Johnathon Schaech is an American actor, writer ","Johnathon Schaech is an American actor, writer  and television host. He is known for his work in Comedy Central, The Great American Comedy",1687057474.8892198,Mark Duran,145051
84,"Eric Schaeffer is an American actor, writer ","Eric Schaeffer is an American actor, writer  and producer of TV, radio, and other channels. A former MTV personality and ""N",1686753172.5334148,George Hudson,517488
85,"Daniel Joseph Schafer is an American pop, country ","Daniel Joseph Schafer is an American pop, country urchin, and writer with experience studying Japanese (US), Chinese, Japanese American, and Mexican",1687192125.1678739,Mark Gill,792495
86,Robert Scheerer was an American film and ,Robert Scheerer was an American film and Â movie star and writer until being hired to oversee the opening of the American film festival in Los Angeles that,1687238045.878858,Brianna Williams,902931
87,Richard Schiff is an American actor and ,Richard Schiff is an American actor and  actor/director and a member of The New York Stock Exchange board. You can find him at Schiff on,1687172476.6059945,Shawn Mendoza,160265
88,Rudolph Schildkraut was an Austrian film and ,"Rudolph Schildkraut was an Austrian film and  his father was an Austrian businessman named Gustav Schüttgen.
B",1686629528.141075,April Mcconnell,167753
89,William G. Schilling was an American actor of ,"William G. Schilling was an American actor of vernacular, and was best known for his role as the voice of the British captain who ordered",1686456897.773403,Leslie Miller,713536
90,"Zander Schloss is an American musician, actor ","Zander Schloss is an American musician, actor  who made his debut,  his most recent  work was with the  The Great American",1686844787.4001024,Ashley Armstrong,625380
91,Ned Schmidtke is an American film and ,"Ned Schmidtke is an American film and  and novelist based largely around his work that I have read over ten times, but we never talked",1687220841.099348,Patrick Patrick,403457
92,"Jonathan Schmock is an American actor, television ","Jonathan Schmock is an American actor, television  producer, actor and director and he will be supporting Star Trek: Discovery in November.",1686887298.7468767,Patricia Edwards,624834
93,"Paul Schoeffler is a Canadian stage, film, ","Paul Schoeffler is a Canadian stage, film, iztage and animation designer. Follow him on Twitter @schoeffler.",1686796670.3286307,Christina Garcia,554816
94,Aaron Schoenke is an American film and ,"Aaron Schoenke is an American film and  the ""master puppeteer"" of 'The Phantom Menace', but I think the",1687023830.0081408,Laura Mitchell,580099
95,"Kevin Schon is an American actor, voice ","Kevin Schon is an American actor, voice  and a comedian with a love for all things Hollywood, from music to real estate, from theater",1686384864.6781485,Michael Anderson,988210
96,"Isaac Liev Schreiber is an American actor, ","Isaac Liev Schreiber is an American actor,  founder of The Liev Schreiber Company and currently of   H.B",1687275419.251713,Daniel Allen,713328
97,"His production company, Ricky Schroder Productions, has ","His production company, Ricky Schroder Productions, has  been making sound recording products for many countries, including the United States.
They are",1686531726.871494,Lisa Cummings,120116
98,Conrad John Schuck Jr. is an American ,Conrad John Schuck Jr. is an American  and an American historian from Seattle. He first became aware of his  racial past about,1686572633.5262556,Isaac Cobb,927767
99,Lenny Schultz is an American retired comedian ,"Lenny Schultz is an American retired comedian  an editor of The Daily Show. He teaches comedy at NYU, NYU's Department of Politics, and",1686724405.2162652,Stephanie Woods,787352
